ce,cp,eps1,fs1,fs2,ps1,ps2,ps3,ps4,ps5,ps6,se,ts1,ts2,ts3,ts4,vs1,iteration,cohort,date_time,cooler_condition,valve_condition,internal_pump_leakage,hydrolic_acucumlator_bar,stable_flag
42.322,1.995,2407.8,0.003,10.162,163.7,4.352,0.0,0.0,9.932,9.802,68.74,35.48,40.879,38.492,31.215,0.582,0,26,2014-08-13 00:00:00,3,100,0,130,1
25.515,1.248,2406.0,0.001,10.403,161.42,4.836,0.0,0.0,9.71,9.608,68.839,36.645,41.379,38.941,34.48,0.562,60,26,2014-08-13 01:00:00,3,100,0,130,1
22.667,1.131,2393.8,0.001,10.413,161.31,4.016,0.0,0.0,9.619,9.509,69.35,37.898,42.363,39.668,35.547,0.571,120,26,2014-08-13 02:00:00,3,100,0,130,1
20.307,1.052,2382.0,0.001,10.336,160.75,3.25,0.0,0.0,9.526,9.431,69.257,38.902,43.281,40.34,36.555,0.549,180,26,2014-08-13 03:00:00,3,100,0,130,1
20.152,1.087,2373.8,0.0,10.307,160.45,4.664,0.0,0.0,9.429,9.323,69.366,39.801,44.125,41.352,37.359,0.567,240,26,2014-08-13 04:00:00,3,100,0,130,1
19.069,1.07,2369.8,0.003,10.198,160.21,4.844,0.0,0.0,9.333,9.232,69.969,40.637,45.078,42.094,38.184,0.544,300,26,2014-08-13 05:00:00,3,100,0,130,1
18.583,1.073,2362.0,0.0,10.16,159.89,4.133,0.0,0.0,9.291,9.194,69.04,41.43,45.859,42.855,38.922,0.551,360,26,2014-08-13 06:00:00,3,100,0,130,1
18.423,1.098,2359.6,0.003,10.118,159.84,2.656,0.0,0.0,9.189,9.106,69.065,42.227,46.539,43.543,39.5,0.567,420,26,2014-08-13 07:00:00,3,100,0,130,1
19.081,1.162,2357.6,0.003,10.051,159.83,2.422,0.0,0.0,9.142,9.053,69.682,42.895,47.195,44.309,39.992,0.558,480,26,2014-08-13 08:00:00,3,100,0,130,1
18.669,1.157,2348.0,0.003,10.004,159.56,2.508,0.0,0.0,9.116,9.019,69.495,43.555,47.902,44.879,40.57,0.558,540,26,2014-08-13 09:00:00,3,100,0,130,1
18.199,1.15,2349.8,0.003,9.986,159.41,4.305,0.0,0.0,9.113,9.028,69.411,44.074,48.484,45.363,41.078,0.564,600,26,2014-08-13 10:00:00,3,100,0,130,1
18.203,1.176,2344.0,0.001,9.951,159.46,2.328,0.0,0.0,9.062,8.982,70.368,44.609,48.977,46.0,41.578,0.559,660,26,2014-08-13 11:00:00,3,100,0,130,1
